codigo,nombre,parte_analizada,humedad,energia_kcal,energia_kj,proteina,lipidos,carb_totales,carb_disp,fibra,cenizas,calcio,hierro,sodio,fosforo,yodo,zinc,magnesio,potasio,tiamina,riboflavina,niacina,folatos,vit_b12,vit_c,vit_a_er,grasa_sat,grasa_mono,grasa_poli,colesterol,parte_comestible_pct
A001,,,,,,,,,,,,2.0,5.0,9.0,14.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
A002,"Almojábana, bogotana, horneada",,413.0,2285.0,119.0,130.0,123.0,230.6,2.8,,,800.0,105.0,67.0,500.0,10.5,123.0,1.0,123.0,382.0,238.0,45.0,116.0,12.0,9.0,6.0,100.0,,,,
A004,,,,,,,,,,,,17.0,7.0,188.0,22.0,0.2,10.0,55.0,9.0,0.09,1.0,36.0,100.0,,,,,,,,
A005,,,,,,,,,,,,19.0,5.0,163.02,10.0,33.0,36.0,5.0,14.0,0.0,0.0,100.0,,,,,,,,,
A006,,,,,,,,,,,,3.0,15.0,50.0,20.0,220.0,0.03,1.0,1.0,0.0,0.0,0.0,100.0,,,,,,,,
A008,"Arepa de maíz, frita",,34.1,325.0,1355.0,34.0,203.0,321.0,0.1,,,2.04,18.0,0.02,0.01,1.0,0.0,0.0,100.0,,,,,,,,,,,,
A009,,,,,,,,,,,,10.0,2.0,4.0,37.0,50.0,7.0,9.0,34.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,100.0
A010,"Arroz blanco, pulido, crudo",Semilla,123.0,353.0,1498.0,67.0,4.0,80.1,790.0,10.0,5.0,9.0,8.0,2.0,140.0,140.0,12.0,35.0,85.0,7.0,3.0,18.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,100.0
A011,"Arroz integral, cocido, sin sal",Semilla,115.0,370.0,1567.0,75.0,26.0,773.0,737.0,36.0,11.0,28.0,18.0,4.0,278.0,22.0,20.0,143.0,268.0,40.0,6.0,53.0,20.0,0.0,0.0,0.0,5.0,9.0,9.0,0.0,100.0
A012,"Avena en hojuelas, precocida",Semilla,10.0,411.0,1733.0,169.0,75.0,641.0,543.0,98.0,15.0,54.0,45.0,3.0,320.0,60.0,40.0,155.0,434.0,0.72,13.0,16.0,57.0,0.0,0.0,0.0,13.0,24.0,26.0,0.0,100.0
A013,"Brownie, de chocolate, horneado |",,135.0,427.0,1792.0,48.0,163.0,642.0,621.0,21.0,11.0,29.0,22.0,286.0,101.0,7.0,31.0,149.0,26.0,21.0,17.0,47.0,7.0,0.0,20.0,42.0,90.0,23.0,17.0,100.0,
A014,,,,,,,,,,,,386.0,27.0,7.0,214.0,70.0,21.0,79.0,278.0,37.0,8.0,53.0,23.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,100.0
A015,,,,,,,,,,,,5.0,79.0,680.0,58.0,100.0,4.0,10.0,92.0,176.0,178.0,14.1,333.0,384.0,0.0,0.0,2.0,2.0,3.0,0.0,100.0
A016,"Croissant, de queso, horneado",,170.0,445.0,1860.0,9.2,23.0,489.0,46.3,25.0,1.9,48.0,16.0,423.0,111.0,77.0,8.0,20.0,134.0,52.0,21.0,20.0,68.0,32.0,0.0,227.0,102.0,59.0,16.0,53.0,100.0
A017,,,,,,,,,,,,26.0,17.0,480.0,0.0,100.0,,,,,,,,,,,,,,,
A018,"Cuchuco de trigo, crudo",Semilla,10.5,358.0,1520.0,128.0,12.0,740.0,15.0,,,50.0,43.0,330.0,0.98,0.21,25.0,0.0,0.0,100.0,,,,,,,,,,,
A019,,,,,,,,,,,,104.0,2.0,132.0,70.0,4.0,15.0,125.0,0.12,0.05,10.0,51.0,5.0,5.0,7.0,14.0,100.0,,,,
A020,"Galletas dulces, con relleno",,12.0,516.0,2161.0,38.0,24.1,701.0,686.0,16.0,8.0,36.0,36.0,103.0,74.0,4.0,16.0,126.0,0.08,0.13,23.0,78.0,0.0,0.0,0.0,123.0,76.0,30.0,0.0,100.0,
A021,"Galletas dulces, cucas",,54.0,390.0,1655.0,76.0,30.0,832.0,0.8,,,8.0,4.0,54.0,0.04,0.03,3.0,0.0,100.0,,,,,,,,,,,,
A022,"Galletas dulces, de avena, con uvas pasas",,6.4,451.0,1897.0,65.0,16.2,68.6,66.1,2.56,23.0,100.0,26.0,538.0,161.0,9.0,42.0,238.0,26.0,0.16,13.0,30.0,8.0,0.0,143.0,32.0,69.0,50.0,33.0,100.0,
A023,"Galletas dulces, sin relleno",,54.0,472.0,1982.0,64.0,19.6,67.1,658.0,12.0,15.0,38.0,20.0,306.0,122.0,0.0,7.0,17.0,105.0,0.13,0.06,17.0,13.0,4.0,0.0,0.0,77.0,70.0,37.0,12.0,100.0
A024,"Galletas dulces, tipo polvorosas",,3.2,448.0,1889.0,76.0,120.0,764.0,743.0,21.0,8.0,54.0,18.0,352.0,166.0,10.0,37.0,142.0,101.0,42.0,39.0,39.0,37.0,22.0,100.0,,,,,,
A025,"Galletas dulces, tipo water",,5.1,455.0,1913.0,54.0,152.0,732.0,713.0,19.0,11.0,48.0,30.0,388.0,104.0,4.0,14.0,97.0,27.0,32.0,31.0,60.0,13.0,0.0,8.0,38.0,65.0,39.0,51.0,100.0,
A026,"Galletas saladas, tipo cracker",,3.6,466.0,1956.0,84.0,17.2,68.2,659.0,23.0,27.0,107.0,26.0,708.0,19.0,130.0,10.0,38.0,173.0,41.0,15.0,40.0,22.0,0.0,0.0,0.0,47.0,51.0,61.0,0.0,100.0
A027,,,,,,,,,,,,38.0,56.0,94.0,145.0,7.0,23.0,152.0,0.12,37.0,62.0,1.0,6.0,0.0,1.0,17.0,32.0,40.0,0.0,100.0,
A028,"Harina de arroz, cruda",,120.0,361.0,1533.0,6.0,1.4,80.0,77.6,2.4,0.6,,,,,,,,,,,,,,,,,,,,
A029,"Harina de avena, cruda",,86.0,414.0,1745.0,147.0,86.0,662.0,597.0,65.0,2.0,54.0,40.0,19.0,440.0,200.0,32.0,132.0,371.0,63.0,13.0,15.0,32.0,0.0,0.0,0.0,15.0,27.0,31.0,0.0,100.0
A030,"Harina de cebada, cruda",,114.0,378.0,1600.0,10.5,16.0,754.0,65.3,10.1,1.1,32.0,27.0,4.0,296.0,20.0,96.0,309.0,37.0,11.0,63.0,8.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,100.0,
A031,"Harina de centeno, para panificación, cruda",,10.7,390.0,1646.0,159.0,29.0,683.0,549.0,134.0,22.0,37.0,50.0,2.0,409.0,5.0,160.0,717.0,32.0,25.0,43.0,33.0,0.0,0.0,1.0,3.0,3.0,10.0,0.0,100.0,
A032,"Harina de centeno, para reposteria, cruda",,115.0,370.0,1567.0,9.1,16.0,766.0,70.3,6.3,1.2,25.0,1.5,2.0,180.0,1.7,78.0,305.0,0.2,0.1,12.0,21.0,0.0,0.0,0.0,0.2,2.0,0.7,100.0,,
A033,,,,,,,,,,,,6.0,27.0,22.0,276.0,10.0,14.0,39.0,242.0,30.0,13.0,21.0,30.0,0.0,0.0,13.0,4.0,8.0,14.0,0.0,100.0
A034,"Harina de maíz blanco, precocida",,120.0,380.0,1608.0,9.1,3.7,739.0,66.4,7.5,1.3,4.0,27.0,1.0,28.0,10.0,13.0,44.0,170.0,30.0,12.0,27.0,35.0,0.0,0.0,0.0,4.0,8.0,123.0,0.0,100.0
A035,"Harina de maíz, extra cruda",,10.6,296.0,1671.0,88.0,49.0,743.0,647.0,96.0,14.0,1.24,5.0,272.0,17.0,93.0,315.0,35.0,8.0,20.0,25.0,0.0,0.0,0.0,5.0,10.0,18.0,0.0,100.0,,
A036,,,,,,,,,,,,3.0,41.0,420.0,194.0,3.2,28.0,0.0,0.2,0.17,2.0,0.0,0.0,100.0,,,,,,,
A037,,,,,,,,,,,,44.0,49.0,12.0,97.0,2.7,146.0,465.0,0.0,100.0,,,,,,,,,,,
